epoch,train_loss,val_loss
1,99.88224118041992,99.38728411865235
2,98.57343268585205,98.83914672851563
3,98.22150531005859,98.45124758911133
4,98.11007959747315,98.72906646728515
5,97.97695947265625,98.59870068359375
6,97.80482057952881,98.32621878051758
7,97.81306056976318,98.15414651489257
8,97.57362162780761,98.1770087890625
9,97.66828623199463,98.4912251586914
10,97.59881981658936,98.06451293945312
11,97.54897953033448,98.14903668212891
12,97.50401388549804,98.2354655456543
13,97.49499137878418,98.09680691528321
14,97.43464036560059,98.11618786621094
15,97.42302111816406,98.2815202331543
